codecommune,codedep,election_type,Year,far_right_relvotes,far_right_votes,turnout,incumbents_relvotes,incumbents_votes,greens_relvotes,greens_votes,right_relvotes,right_votes,socialists_relvotes,socialists_votes
36195,36,E,2024,0.477272727272727,126,0.57516339869281,0.0984848484848485,26,0.0265151515151515,7,0.0643939393939394,17,0.0909090909090909,24
36196,36,E,2024,0.333333333333333,14,0.471910112359551,0.166666666666667,7,0.0238095238095238,1,0.0476190476190476,2,0.0238095238095238,1
36197,36,E,2024,0.417177914110429,68,0.571929824561404,0.141104294478528,23,0.0368098159509202,6,0.0368098159509202,6,0.0920245398773006,15
36198,36,E,2024,0.511111111111111,92,0.552147239263804,0.15,27,0.0111111111111111,2,0.0444444444444444,8,0.0555555555555556,10
36199,36,E,2024,0.415354330708661,211,0.545649838882922,0.151574803149606,77,0.0295275590551181,15,0.0728346456692913,37,0.12007874015748,61
36200,36,E,2024,0.398763523956723,258,0.501550387596899,0.114374034003091,74,0.0556414219474498,36,0.0695517774343122,45,0.14064914992272,91
36202,36,E,2024,0.45048399106478,605,0.551540041067762,0.143708116157856,193,0.0290394638868206,39,0.0707371556217424,95,0.0774385703648548,104
36203,36,E,2024,0.28,7,0.510204081632653,0.2,5,0.04,1,0.08,2,0.2,5
36204,36,E,2024,0.486111111111111,70,0.582995951417004,0.0625,9,0.0347222222222222,5,0.0625,9,0.0763888888888889,11
36205,36,E,2024,0.458333333333333,22,0.521739130434783,0.1875,9,0.0208333333333333,1,0.104166666666667,5,0.104166666666667,5
36207,36,E,2024,0.233480176211454,53,0.543062200956938,0.105726872246696,24,0.0220264317180617,5,0.0704845814977974,16,0.202643171806167,46
36208,36,E,2024,0.4,120,0.530035335689046,0.15,45,0.0233333333333333,7,0.0433333333333333,13,0.123333333333333,37
36209,36,E,2024,0.469387755102041,46,0.429824561403509,0.122448979591837,12,0,0,0.13265306122449,13,0.0408163265306122,4
36210,36,E,2024,0.292517006802721,43,0.578740157480315,0.115646258503401,17,0.0408163265306122,6,0.0680272108843538,10,0.142857142857143,21
36211,36,E,2024,0.558974358974359,109,0.518617021276596,0.0461538461538462,9,0.0205128205128205,4,0.0564102564102564,11,0.0615384615384615,12
